X,CH1,
Second,Volt,
-7.86500e-06,-1.54e-01,
-7.86400e-06,-1.39e-01,
-7.86300e-06,-1.24e-01,
-7.86200e-06,-1.12e-01,
-7.86100e-06,-1.14e-01,
-7.86000e-06,-1.14e-01,
-7.85900e-06,-1.29e-01,
-7.85800e-06,-1.41e-01,
-7.85700e-06,-1.44e-01,
-7.85600e-06,-1.36e-01,
-7.85500e-06,-1.24e-01,
-7.85400e-06,-1.02e-01,
-7.85300e-06,-8.43e-02,
-7.85200e-06,-7.19e-02,
-7.85100e-06,-7.44e-02,
-7.85000e-06,-7.68e-02,
-7.84900e-06,-8.18e-02,
-7.84800e-06,-8.92e-02,
-7.84700e-06,-8.43e-02,
-7.84600e-06,-7.19e-02,
-7.84500e-06,-5.46e-02,
-7.84400e-06,-2.98e-02,
-7.84300e-06,-1.24e-02,
-7.84200e-06,-2.48e-03,
-7.84100e-06,0.00e+00,
-7.84000e-06,-4.96e-03,
-7.83900e-06,-1.24e-02,
-7.83800e-06,-1.74e-02,
-7.83700e-06,-1.24e-02,
-7.83600e-06,2.48e-03,
-7.83500e-06,2.48e-02,
-7.83400e-06,4.22e-02,
-7.83300e-06,5.95e-02,
-7.83200e-06,6.44e-02,
-7.83100e-06,5.95e-02,
-7.83000e-06,5.46e-02,
-7.82900e-06,4.71e-02,
-7.82800e-06,4.46e-02,
-7.82700e-06,4.96e-02,
-7.82600e-06,6.69e-02,
-7.82500e-06,8.68e-02,
-7.82400e-06,1.07e-01,
-7.82300e-06,1.19e-01,
-7.82200e-06,1.24e-01,
-7.82100e-06,1.14e-01,
-7.82000e-06,1.07e-01,
-7.81900e-06,1.02e-01,
-7.81800e-06,1.02e-01,
-7.81700e-06,1.12e-01,
-7.81600e-06,1.24e-01,
-7.81500e-06,1.41e-01,
-7.81400e-06,1.54e-01,
-7.81300e-06,1.56e-01,
-7.81200e-06,1.59e-01,
-7.81100e-06,1.41e-01,
-7.81000e-06,1.26e-01,
-7.80900e-06,1.17e-01,
-7.80800e-06,1.14e-01,
-7.80700e-06,1.22e-01,
-7.80600e-06,1.36e-01,
-7.80500e-06,1.49e-01,
-7.80400e-06,1.59e-01,
-7.80300e-06,1.56e-01,
-7.80200e-06,1.44e-01,
-7.80100e-06,1.24e-01,
-7.80000e-06,1.07e-01,
-7.79900e-06,9.42e-02,
-7.79800e-06,9.17e-02,
-7.79700e-06,9.92e-02,
-7.79600e-06,1.07e-01,
-7.79500e-06,1.17e-01,
-7.79400e-06,1.22e-01,
-7.79300e-06,1.14e-01,
-7.79200e-06,1.02e-01,
-7.79100e-06,7.93e-02,
-7.79000e-06,6.44e-02,
-7.78900e-06,4.96e-02,
-7.78800e-06,4.46e-02,
-7.78700e-06,4.71e-02,
-7.78600e-06,5.70e-02,
-7.78500e-06,6.20e-02,
-7.78400e-06,6.44e-02,
-7.78300e-06,5.95e-02,
-7.78200e-06,4.71e-02,
-7.78100e-06,2.73e-02,
-7.78000e-06,1.24e-02,
-7.77900e-06,0.00e+00,
-7.77800e-06,-4.96e-03,
-7.77700e-06,-7.44e-03,
-7.77600e-06,0.00e+00,
-7.77500e-06,-2.48e-03,
-7.77400e-06,-4.96e-03,
-7.77300e-06,-1.49e-02,
-7.77200e-06,-2.73e-02,
-7.77100e-06,-4.71e-02,
-7.77000e-06,-6.20e-02,
-7.76900e-06,-7.19e-02,
-7.76800e-06,-7.44e-02,
-7.76700e-06,-7.19e-02,
-7.76600e-06,-6.94e-02,
-7.76500e-06,-7.19e-02,
-7.76400e-06,-7.68e-02,
-7.76300e-06,-8.43e-02,
-7.76200e-06,-9.67e-02,
-7.76100e-06,-1.09e-01,
-7.76000e-06,-1.19e-01,
-7.75900e-06,-1.22e-01,
-7.75800e-06,-1.24e-01,
-7.75700e-06,-1.14e-01,
-7.75600e-06,-1.07e-01,
-7.75500e-06,-1.02e-01,
-7.75400e-06,-1.04e-01,
-7.75300e-06,-1.12e-01,
-7.75200e-06,-1.22e-01,
-7.75100e-06,-1.31e-01,
-7.75000e-06,-1.34e-01,
-7.74900e-06,-1.29e-01,
-7.74800e-06,-1.26e-01,
-7.74700e-06,-1.19e-01,
-7.74600e-06,-1.09e-01,
-7.74500e-06,-1.09e-01,
-7.74400e-06,-1.09e-01,
-7.74300e-06,-1.17e-01,
-7.74200e-06,-1.26e-01,
-7.74100e-06,-1.34e-01,
-7.74000e-06,-1.31e-01,
-7.73900e-06,-1.26e-01,
-7.73800e-06,-1.17e-01,
-7.73700e-06,-1.02e-01,
-7.73600e-06,-8.92e-02,
-7.73500e-06,-9.17e-02,
-7.73400e-06,-9.67e-02,
-7.73300e-06,-9.92e-02,
-7.73200e-06,-1.04e-01,
-7.73100e-06,-1.04e-01,
-7.73000e-06,-9.42e-02,
-7.72900e-06,-8.18e-02,
-7.72800e-06,-6.44e-02,
-7.72700e-06,-4.96e-02,
-7.72600e-06,-3.97e-02,
-7.72500e-06,-3.22e-02,
-7.72400e-06,-2.98e-02,
-7.72300e-06,-3.97e-02,
-7.72200e-06,-4.22e-02,
-7.72100e-06,-4.22e-02,
-7.72000e-06,-2.48e-02,
-7.71900e-06,-4.96e-03,
-7.71800e-06,1.24e-02,
-7.71700e-06,2.73e-02,
-7.71600e-06,3.47e-02,
-7.71500e-06,3.22e-02,
-7.71400e-06,2.73e-02,
-7.71300e-06,2.23e-02,
-7.71200e-06,1.98e-02,
-7.71100e-06,2.23e-02,
-7.71000e-06,4.22e-02,
-7.70900e-06,5.70e-02,
-7.70800e-06,7.68e-02,
-7.70700e-06,9.17e-02,
-7.70600e-06,9.42e-02,
-7.70500e-06,8.43e-02,
-7.70400e-06,7.19e-02,
-7.70300e-06,6.20e-02,
-7.70200e-06,5.95e-02,
-7.70100e-06,6.69e-02,
-7.70000e-06,8.43e-02,
-7.69900e-06,1.04e-01,
-7.69800e-06,1.19e-01,
-7.69700e-06,1.29e-01,
-7.69600e-06,1.31e-01,
-7.69500e-06,1.22e-01,
-7.69400e-06,1.09e-01,
-7.69300e-06,9.92e-02,
-7.69200e-06,9.92e-02,
-7.69100e-06,1.04e-01,
-7.69000e-06,1.22e-01,
-7.68900e-06,1.41e-01,
-7.68800e-06,1.56e-01,
-7.68700e-06,1.56e-01,
-7.68600e-06,1.49e-01,
-7.68500e-06,1.31e-01,
-7.68400e-06,1.14e-01,
-7.68300e-06,1.04e-01,
-7.68200e-06,9.92e-02,
-7.68100e-06,1.04e-01,
-7.68000e-06,1.17e-01,
-7.67900e-06,1.26e-01,
-7.67800e-06,1.31e-01,
-7.67700e-06,1.26e-01,
-7.67600e-06,1.14e-01,
-7.67500e-06,9.67e-02,
-7.67400e-06,7.44e-02,
-7.67300e-06,5.70e-02,
-7.67200e-06,5.70e-02,
-7.67100e-06,5.70e-02,
-7.67000e-06,7.19e-02,
-7.66900e-06,8.43e-02,
-7.66800e-06,8.68e-02,
-7.66700e-06,7.68e-02,
-7.66600e-06,5.95e-02,
-7.66500e-06,3.47e-02,
-7.66400e-06,1.24e-02,
-7.66300e-06,-2.48e-03,
-7.66200e-06,-9.92e-03,
-7.66100e-06,-7.44e-03,
-7.66000e-06,9.92e-03,
-7.65900e-06,2.23e-02,
-7.65800e-06,2.73e-02,
-7.65700e-06,2.48e-02,
-7.65600e-06,1.24e-02,
-7.65500e-06,-1.24e-02,
-7.65400e-06,-3.22e-02,
-7.65300e-06,-4.71e-02,
-7.65200e-06,-5.70e-02,
-7.65100e-06,-5.21e-02,
-7.65000e-06,-3.47e-02,
-7.64900e-06,-2.73e-02,
-7.64800e-06,-1.74e-02,
-7.64700e-06,-1.74e-02,
-7.64600e-06,-2.48e-02,
-7.64500e-06,-3.97e-02,
-7.64400e-06,-5.70e-02,
-7.64300e-06,-6.69e-02,
-7.64200e-06,-7.68e-02,
-7.64100e-06,-7.68e-02,
-7.64000e-06,-6.69e-02,
-7.63900e-06,-5.70e-02,
-7.63800e-06,-4.96e-02,
-7.63700e-06,-5.21e-02,
-7.63600e-06,-5.70e-02,
-7.63500e-06,-6.69e-02,
-7.63400e-06,-7.44e-02,
-7.63300e-06,-8.18e-02,
-7.63200e-06,-8.18e-02,
-7.63100e-06,-7.44e-02,
-7.63000e-06,-6.69e-02,
-7.62900e-06,-5.95e-02,
-7.62800e-06,-5.70e-02,
-7.62700e-06,-5.70e-02,
-7.62600e-06,-5.95e-02,
-7.62500e-06,-6.20e-02,
-7.62400e-06,-6.44e-02,
-7.62300e-06,-5.95e-02,
-7.62200e-06,-5.21e-02,
-7.62100e-06,-4.22e-02,
-7.62000e-06,-2.73e-02,
-7.61900e-06,-1.98e-02,
-7.61800e-06,-1.98e-02,
-7.61700e-06,-2.23e-02,
-7.61600e-06,-2.23e-02,
-7.61500e-06,-2.48e-02,
-7.61400e-06,-1.74e-02,
-7.61300e-06,-1.24e-02,
-7.61200e-06,2.48e-03,
-7.61100e-06,1.24e-02,
-7.61000e-06,2.73e-02,
-7.60900e-06,2.98e-02,
-7.60800e-06,2.48e-02,
-7.60700e-06,1.98e-02,
-7.60600e-06,1.49e-02,
-7.60500e-06,1.49e-02,
-7.60400e-06,2.23e-02,
-7.60300e-06,3.47e-02,
-7.60200e-06,5.46e-02,
-7.60100e-06,6.20e-02,
-7.60000e-06,7.19e-02,
-7.59900e-06,7.19e-02,
-7.59800e-06,6.44e-02,
-7.59700e-06,5.46e-02,
-7.59600e-06,5.21e-02,
-7.59500e-06,4.71e-02,
-7.59400e-06,5.70e-02,
-7.59300e-06,6.94e-02,
-7.59200e-06,8.68e-02,
-7.59100e-06,9.92e-02,
-7.59000e-06,1.07e-01,
-7.58900e-06,1.04e-01,
-7.58800e-06,9.67e-02,
-7.58700e-06,8.43e-02,
-7.58600e-06,7.68e-02,
-7.58500e-06,7.44e-02,
-7.58400e-06,8.18e-02,
-7.58300e-06,9.17e-02,
-7.58200e-06,1.04e-01,
-7.58100e-06,1.12e-01,
-7.58000e-06,1.14e-01,
-7.57900e-06,1.04e-01,
-7.57800e-06,9.42e-02,
-7.57700e-06,8.18e-02,
-7.57600e-06,7.19e-02,
-7.57500e-06,6.20e-02,
-7.57400e-06,6.44e-02,
-7.57300e-06,6.69e-02,
-7.57200e-06,7.68e-02,
-7.57100e-06,7.44e-02,
-7.57000e-06,6.94e-02,
-7.56900e-06,5.95e-02,
-7.56800e-06,3.97e-02,
-7.56700e-06,2.48e-02,
-7.56600e-06,1.74e-02,
-7.56500e-06,1.24e-02,
-7.56400e-06,1.74e-02,
-7.56300e-06,2.23e-02,
-7.56200e-06,2.98e-02,
-7.56100e-06,2.23e-02,
-7.56000e-06,1.74e-02,
-7.55900e-06,4.96e-03,
-7.55800e-06,-1.49e-02,
-7.55700e-06,-2.73e-02,
-7.55600e-06,-3.72e-02,
-7.55500e-06,-3.97e-02,
-7.55400e-06,-3.22e-02,
-7.55300e-06,-3.22e-02,
-7.55200e-06,-3.22e-02,
-7.55100e-06,-3.97e-02,
-7.55000e-06,-4.71e-02,
-7.54900e-06,-6.44e-02,
-7.54800e-06,-8.43e-02,
-7.54700e-06,-9.42e-02,
-7.54600e-06,-9.92e-02,
-7.54500e-06,-1.04e-01,
-7.54400e-06,-1.02e-01,
-7.54300e-06,-9.92e-02,
-7.54200e-06,-1.02e-01,
-7.54100e-06,-1.09e-01,
-7.54000e-06,-1.22e-01,
-7.53900e-06,-1.34e-01,
-7.53800e-06,-1.51e-01,
-7.53700e-06,-1.64e-01,
-7.53600e-06,-1.69e-01,
-7.53500e-06,-1.64e-01,
-7.53400e-06,-1.56e-01,
-7.53300e-06,-1.54e-01,
-7.53200e-06,-1.54e-01,
-7.53100e-06,-1.64e-01,
-7.53000e-06,-1.71e-01,
-7.52900e-06,-1.84e-01,
-7.52800e-06,-1.93e-01,
-7.52700e-06,-1.96e-01,
-7.52600e-06,-1.91e-01,
-7.52500e-06,-1.84e-01,
-7.52400e-06,-1.74e-01,
-7.52300e-06,-1.64e-01,
-7.52200e-06,-1.66e-01,
-7.52100e-06,-1.71e-01,
-7.52000e-06,-1.81e-01,
-7.51900e-06,-1.91e-01,
-7.51800e-06,-2.01e-01,
-7.51700e-06,-1.98e-01,
-7.51600e-06,-1.88e-01,
-7.51500e-06,-1.74e-01,
-7.51400e-06,-1.56e-01,
-7.51300e-06,-1.49e-01,
-7.51200e-06,-1.46e-01,
-7.51100e-06,-1.54e-01,
-7.51000e-06,-1.59e-01,
-7.50900e-06,-1.66e-01,
-7.50800e-06,-1.74e-01,
-7.50700e-06,-1.69e-01,
-7.50600e-06,-1.54e-01,
-7.50500e-06,-1.36e-01,
-7.50400e-06,-1.19e-01,
-7.50300e-06,-1.04e-01,
-7.50200e-06,-9.67e-02,
-7.50100e-06,-1.02e-01,
-7.50000e-06,-1.04e-01,
-7.49900e-06,-1.09e-01,
-7.49800e-06,-1.12e-01,
-7.49700e-06,-9.92e-02,
-7.49600e-06,-8.18e-02,
-7.49500e-06,-6.44e-02,
-7.49400e-06,-4.96e-02,
-7.49300e-06,-3.72e-02,
-7.49200e-06,-3.22e-02,
-7.49100e-06,-3.72e-02,
-7.49000e-06,-4.22e-02,
-7.48900e-06,-4.46e-02,
-7.48800e-06,-4.46e-02,
-7.48700e-06,-2.73e-02,
-7.48600e-06,-7.44e-03,
-7.48500e-06,1.24e-02,
-7.48400e-06,2.73e-02,
-7.48300e-06,2.98e-02,
-7.48200e-06,3.22e-02,
